ts,tagID,fix,bearing,longitude,latitude,plotlocation
4/10/16 6:50,36,1039,NA,-77.9404,18.04243,LII
4/10/16 7:35,60,40,NA,-77.9413,18.04233,LII
4/10/16 7:58,60,41,NA,-77.9412,18.04236,LII
4/10/16 10:13,60,42,NA,-77.9412,18.04236,LII
4/10/16 11:50,60,43,NA,-77.9413,18.0424,LII
4/12/16 6:27,33,3,NA,-77.935,18.03646,LI
4/12/16 6:45,42,22,NA,-77.9366,18.0379,MI
4/12/16 7:45,42,23,NA,-77.9365,18.03782,MI
4/12/16 10:27,60,44,NA,-77.9423,18.04,LII
4/13/16 6:43,42,24,NA,-77.9365,18.038,MI
4/13/16 6:50,33,4,NA,-77.9352,18.03638,LI
4/13/16 7:39,42,25,NA,-77.9365,18.03794,MI
4/13/16 10:35,60,45,NA,-77.94230118,18.03988773,MII D.5 5
4/13/16 11:57,60,46,NA,-77.9422,18.04003,MII
4/19/16 7:53,42,26,NA,-77.9365,18.03794,MI
4/19/16 9:15,34,48,NA,-77.9424,18.04742,CTI
4/22/16 7:40,33,5,NA,-77.9351,18.03631,LI
4/22/16 9:25,65,2,NA,-77.9414,18.04394,LIIR
4/22/16 10:42,57,2,NA,-77.9411,18.04098,MII
4/27/16 7:16,42,30,NA,-77.9365,18.0376,MI
4/27/16 9:00,61,7,NA,-77.9418,18.04133,MII
4/27/16 9:46,62,8,NA,-77.9408,18.04152,LII
1/29/18 9:59,368,1,NA,-77.94186,18.04158,AMC 8
1/29/18 10:15,373,1,NA,-77.9417,18.04188,AMC 9
1/29/18 11:22,13,1,NA,-77.94316,18.04137,AMC 10
1/30/18 9:22,12,2,NA,-77.94051,18.04252,AMC 15
1/30/18 10:48,13,2,NA,-77.94315,18.04123,AMC 16
1/31/18 7:05,12,1,NA,-77.94052,18.04237,AMC 17
1/31/18 8:35,13,2,NA,-77.94144,18.04321,AMC 18
1/31/18 9:35,305,2,NA,-77.94137,18.04589,AMC 19
2/1/18 8:22,12,1,NA,-77.94057,18.04238,WHB 1
2/1/18 10:18,10,1,NA,-77.93874,18.04097,WHB 3
2/1/18 10:48,368,1,NA,-77.94012,18.04395,WHB 4
2/2/18 7:15,12,1,NA,-77.94064,18.0424,AMC 20
2/2/18 11:19,10,2,NA,-77.93867,18.04073,WHB 9
2/2/18 12:02,305,2,NA,-77.94105,18.04576,WHB 10
2/2/18 13:09,31,2,NA,-77.94193909,18.04093782,MII G 6
2/2/18 10:14,13,3,NA,-77.94332,18.04129,WHB 7
2/2/18 10:35,12,2,NA,-77.94057951,18.04244543,LII J 9
2/2/18 10:57,368,2,NA,-77.94001,18.0439,WHB 8
2/3/18 9:51,13,2,NA,-77.94321,18.04135,AMC 28
2/3/18 11:57,368,2,NA,-77.93965,18.04549,AMC 30
2/3/18 12:49,31,2,NA,-77.9417,18.04116,AMC 31
2/4/18 9:11,368,1,NA,-77.93958,18.0454,AMC 34
2/4/18 7:21,8,101,NA,-77.94053,18.04816,WHB 16
2/4/18 7:51,368,102,NA,-77.93951,18.04544,LR 4
2/4/18 9:34,12,103,271,-77.94034819,18.04244643,LII J 9.5
2/6/18 8:05,8,2,NA,-77.94043,18.04814,AMC 36
2/6/18 9:20,31,1,NA,-77.94185,18.04137,AMC 38
2/6/18 9:41,27,2,NA,-77.94137,18.04334,AMC 39
2/6/18 10:17,368,2,NA,-77.93953,18.04564,AMC 40
2/6/18 11:04,13,3,NA,-77.94207,18.04151,AMC 42
2/6/18 11:09,31,2,NA,-77.94201,18.04122,AMC 43
2/6/18 11:27,12,2,NA,-77.94062,18.0427,AMC 44
2/6/18 11:53,305,2,NA,-77.94104,18.04567,AMC 46
2/6/18 13:18,13,4,NA,-77.94323,18.04124,AMC 47
2/6/18 7:36,368,101,237,-77.93951,18.04544,LR 4
2/6/18 11:32,368,102,312,-77.93951,18.04544,LR 4
2/6/18 13:11,12,102,NA,-77.94054,18.04236,WHB 25
2/7/18 6:41,27,1,NA,-77.94116,18.04328,AMC 48
2/7/18 8:32,31,1,NA,-77.94183,18.04132,AMC 49
2/7/18 8:46,12,2,NA,-77.94053,18.0423,AMC 50
2/7/18 8:58,13,1,NA,-77.94164,18.04377,AMC 51
2/7/18 9:56,368,NA,NA,-77.93961,18.04552,AMC 53
2/7/18 11:30,31,3,NA,-77.94196,18.04121,AMC 54
2/7/18 12:10,12,4,NA,-77.9405,18.0425,AMC 55
2/7/18 12:34,31,4,NA,-77.94193909,18.04093782,MII G 6
