plotlocation,x,y,longitude,latitude
LIIR F.5 8,188485.6063,1997655.701,-77.94232548,18.04511087
LIIR F.5 9,188537.282,1997659.961,-77.94183851,18.04515675
LIIR F 10,188580.9735,1997689.715,-77.9414307,18.04543161
LIIR F 10.5,188594.0035,1997695.399,-77.9413086,18.04548478
LIIR F 11,188610.2851,1997702.248,-77.94115599,18.04554895
LIIR F 11.2,188610.2194,1997692.651,-77.94115517,18.04546231
LIIR F 8,188485.0011,1997681.837,-77.94233512,18.0453467
LIIR F 8.5,188511.3608,1997680.14,-77.94208613,18.04533517
LIIR F 9,188533.6531,1997684.671,-77.94187646,18.04537927
LIIR F 9.5,188561.6679,1997687.91,-77.9416126,18.04541254
LIIR G.3 10,188584.6433,1997619.955,-77.94138559,18.04480243
LIIR G.5 8,188487.6334,1997609.056,-77.94229935,18.04469011
LIIR G 10,188582.9528,1997640.493,-77.94140463,18.04498758
LIIR G 8,188487.4762,1997630.167,-77.942304,18.04488065
LIIR G 8.5,188515.0364,1997634.485,-77.94204459,18.04492359
LIIR G 9,188539.9394,1997634.801,-77.94180965,18.04493002
LIIR G 9.5,188559.3958,1997634.528,-77.94162602,18.04493035
LIIR H 10,188582.4062,1997585.819,-77.94140158,18.04449398
LIIR H 7.8,188487.277,1997578.653,-77.94229814,18.04441563
LIIR H 8,188493.2769,1997588.228,-77.94224297,18.04450292
LIIR H 9,188542.1272,1997606.913,-77.94178482,18.0446786
LIIR H 9.5,188560.3332,1997591.714,-77.94161074,18.04454402
LIR W.5 3,189397.1305,1996706.629,-77.93358209,18.0366747
LIR W.5 4,189404.8665,1996659.507,-77.93350205,18.03625045
LIR W.5 5,189405.9453,1996611.2,-77.93348463,18.03581455
LIR W.5 6,189406.1883,1996561.298,-77.93347487,18.03536414
LIR X.5 2,189314.1279,1996761.064,-77.93437344,18.03715418
LIR X.5 2.3,189327.2776,1996742.337,-77.93424655,18.03698702
LIR X.5 2.5,189341.6834,1996727.79,-77.93410845,18.03685777
LIR X.5 3,189352.0558,1996707.334,-77.93400751,18.03667461
LIR X.5 4,189353.9593,1996660.934,-77.9339826,18.03625605
LIR X.5 4.5,189357.5497,1996631.005,-77.93394424,18.0359864
LIR X.5 5,189355.7466,1996607.819,-77.93395779,18.03577685
LIR X.5 5.5,189355.1601,1996586.378,-77.93396011,18.03558322
LIR X.5 6,189359.9551,1996559.959,-77.93391091,18.03534543
LIR X 3,189375.8704,1996707.741,-77.93378287,18.0366817
